Domain name,Domain type,Organization name,Suborganization name,City,State,Security contact email
alien.gov,Federal - Executive,Executive Office of the President,White House Office,Washington,DC,(blank)
aliens.gov,Federal - Executive,Executive Office of the President,White House Office,Washington,DC,(blank)
